iter	Passed	Remaining
1558	18666	41201
1559	18678	41188
1560	18691	41178
1561	18703	41165
1562	18716	41156
1563	18728	41145
1564	18739	41131
1565	18752	41120
1566	18764	41109
1567	18777	41100
1568	18789	41088
1569	18800	41074
1570	18811	41060
1571	18824	41050
1572	18837	41039
1573	18849	41029
1574	18861	41016
1575	18873	41004
1576	18885	40991
1577	18897	40980
1578	18909	40968
1579	18921	40956
1580	18933	40945
1581	18944	40931
1582	18956	40919
1583	18968	40906
1584	18981	40896
1585	18993	40884
1586	19006	40875
1587	19019	40865
1588	19032	40856
1589	19046	40847
1590	19058	40836
1591	19069	40822
1592	19081	40810
1593	19092	40796
1594	19104	40784
1595	19116	40773
1596	19129	40762
1597	19141	40751
1598	19153	40739
1599	19166	40727
1600	19178	40716
1601	19189	40703
1602	19201	40691
1603	19214	40681
1604	19226	40669
1605	19238	40657
1606	19250	40645
1607	19262	40632
1608	19274	40621
1609	19286	40608
1610	19298	40596
1611	19310	40585
1612	19320	40569
1613	19332	40557
1614	19343	40543
1615	19354	40530
1616	19366	40517
1617	19378	40504
1618	19390	40493
1619	19402	40482
1620	19415	40471
1621	19427	40460
1622	19440	40450
1623	19453	40439
1624	19466	40429
1625	19477	40416
1626	19489	40403
1627	19501	40392
1628	19513	40380
1629	19524	40367
1630	19537	40356
1631	19550	40346
1632	19562	40334
1633	19573	40320
1634	19585	40309
1635	19597	40296
1636	19609	40285
1637	19621	40273
1638	19632	40259
1639	19644	40248
1640	19656	40236
1641	19669	40225
1642	19681	40214
1643	19695	40204
1644	19708	40195
1645	19719	40180
1646	19729	40165
1647	19741	40154
1648	19752	40139
1649	19763	40126
1650	19776	40115
1651	19787	40102
1652	19798	40088
1653	19810	40076
1654	19823	40065
1655	19836	40056
1656	19848	40045
1657	19861	40035
1658	19874	40024
1659	19887	40015
1660	19899	40001
1661	19910	39988
1662	19923	39978
1663	19934	39965
1664	19945	39949
1665	19956	39937
1666	19968	39924
1667	19981	39914
